"#","#","*","-","-","-","(Last updated: August 2026)","","Sardinia 2026","","","","","","","","","Austria 2025","","","","","","","","","Sardinia 2025","","","","","","","","","AC 2024","","","","","","","","","Sardinia 2024","","","","","","","","","WC 2023","","","","","","","","","AC 2019","","","","","","","","","AC 2017","","","","","","","","","EC 2017","","","","","","","","","WC 2016","","IC 2015","","","","","","","","WC 2014","","WC 2013","",""
"","","","Name","Player","Team","Continent","","100%","","","S-R","","","","","BP","100%","","","S-R","","","","","","75%","","","S-R","","","","","","75%","","","S-R","","","","","","50%","","","S-R","","","","","","62%","","","S-R","","","","","","10%","","","S-R","","","","","","1%","","","S-R","","","","","","1%","","","S-R","","","","","","28%","","1%","","","","","","","","12%","","5%","",""
"13","12","*","Floris","Stanculea","Romania","Europe","632,5","2","300","300","S","0,0","8","","","","3","190","190","S","0,7","7","5","5","0","3","142,5","142,5","S","1,0","8","8","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1,0","4","4","0","0","","","","",""
"14","13","*","Mubarak","Al-Muhazaa","Qatar","Asia","605,7","4F","90","90","S","1,0","6","6","3","","4F","90","90","S","0,7","6","4","3","0","4F","67,5","67,5","S","1,0","6","6","4","0","4F","135","135","S","0,5","4","2","2","0","","","","","","","","","","4F","223,2","223,2","S","0,8","6","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","Miguel Ángel","Barceló","Spain","Europe","600,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","10,0","10","S","1,0","6,0","6","6","0","1","500","","","","","","","","","3","90","","",""
"16","14","*","Simone","Angilletta","Italy","Europe","595,7","4","170","170","S","1,0","8","8","5","","4F","90","90","S","0,7","6","4","2","0","4F","67,5","67,5","S","1,0","6","6","5","0","","","","","","","","","","4F","45","45","S","1,0","5","5","4","0","4F","223,2","223,2","S","1,0","6","6","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","15","*","Alessandro","Vender","Italy","Europe","515,7","4F","90","90","S","1,0","6","6","3","","4F","90","90","S","0,8","6","5","2","0","4F","67,5","67,5","S","1,0","6","6","5","0","","","","","","","","","","4F","45","45","S","1,0","5","5","4","0","4F","223,2","223,2","S","1,0","6","6","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","16","","Pedro","Frau","Spain","Europe","500","","","","","","","","","","1","500","500","S","0,7","7","5","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","17","","Lucas","Vaioli","Argentina","America","493,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","243,75","243,75","S","1,0","6","6","3","0","","","","","","","","","","","","","","","","","","","3","37,5","37,5","S","1,0","6","6","5","0","","","","","","","","","","","","","","","","","","","3","210","4","1,7","1,7","1,0","7","7","5","0","","","","",""
"20","18","*","Ricardo","Correia da Silva","Portugal","Europe","487","4F","90","90","S","1,0","6","6","4","","2","300","300","S","0,7","7","5","4","0","4F","67,5","67,5","S","1,0","6","6","4","0","","","","","","","","","","FG","16","10","S","1,0","4","4","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","1,8","1,8","S","1,0","4,0","4","2","0","","","4F","0,9","0,9","1,0","5","5","2","0","FG","10,8","","",""
"21","19","","Rodrigo","Maidana","Argentina","America","485,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","450","450","S","0,5","6","3","2","0","","","","","","","","","","","","","","","","","","","2","30,0","60","R","0,3","6","2","2","0","1","5,0","10","R","0,3","7,0","2","2","0","","","","","","","","","","","","","","","","","","","","","","","",""
"22","20","*","Antonio","Henriques","Portugal","Europe","479,5","4F","90","90","S","1,0","6","6","3","","","","","","","","","","","4","127,5","127,5","S","1,0","8","8","4","0","","","","","","","","","","FG","16,0","10","S","1,0","4","4","2","6","3","232,5","465","R","0,3","8","2","2","0","","","","","","","","","","","","","","","","","","","4F","1,8","1,8","S","1,0","4,0","4","2","0","","","4F","0,9","0,9","1,0","5","5","2","0","FG","10,8","","",""
